{
-1.2350, 1.5050, 5.1000,
-1.3800, 1.4700, 5.1000,
-1.4900, 1.3800, 5.1000,
-1.5000, 1.2900, 5.1000,
-1.4450, 1.1850, 5.1000,
-1.3100, 1.1600, 5.1000,
-1.1550, 1.1800, 5.1000,
-1.0650, 1.2100, 5.1000,
-0.9700, 1.2600, 5.1000,
-0.9650, 1.3550, 5.1000,
-1.0300, 1.4650, 5.1000,
-1.1550, 1.5100, 5.1000,
-1.3100, 1.5050, 5.1000,
-1.4300, 1.4400, 5.1000,
-0.9400, 1.3100, 5.1000,
-0.9450, 1.2150, 5.1000,
-0.9500, 1.1550, 5.1000,
-0.8800, 1.0350, 5.1000,
-0.8200, 0.8850, 5.1000,
-0.7800, 0.7600, 5.1000,
-0.7700, 0.6700, 5.1000,
-0.7300, 0.5550, 5.1000,
-0.7300, 0.4700, 5.1000,
-0.7050, 0.3800, 5.1000,
-0.6850, 0.2800, 5.1000,
-0.7000, 0.2050, 5.1000,
-0.7250, 0.1450, 5.1000,
-0.7900, 0.1000, 5.1000,
}
